	artist	lyrics
10	Mishelle Master Boys	
11	Lil Pump	"CB on the beat
Only wear designer, esskeetit...
Ooh, Lil Pump
Yeah, yeah, ooh, brr
Yeah, ooh, wow
Yeah, yeah, ooh, ooh

Only wear designer, esskeetit (ooh!)
Hoppin' out the Wraith, esskeetit (esskeetit!)
Smashin' on your bitch, esskeetit (ooh!)
Runnin' up a check with no limit (chyeah!)
Poppin' on X, poppin' on X
Poppin' on X, pills (yuh, X)
Got a new car, got a new bitch (ooh), yeah
And I got a new deal (ooh!)
Only wear designer, esskeetit (esskeetit!)
Hoppin' out the Wraith, esskeetit (ooh!)
Smashin' on your bitch, esskeetit (esskeetit!)
Runnin' up a check with no limit (ooh!)
Poppin' on X, poppin' on X
Poppin' on X, pills (poppin' on X)
Got a new car, got a new bitch
And I got a new deal (yuh, yuh!)

Pull up to the crib like ""what up, bitch!"" (ooh)
Got a penthouse sittin' on my wrist (brrt)
And my grandma sippin' on Actavis (Act')
Got a lot of ice, and I'm cold as shit
And these bitches love to talk a lot (ooh)
Pull out the Porsche out the car garage (brrt)
And I never had a job (nah)
I'm high as fuck, took a trip to Mars (goddamn)
Ice on ice on ice (ice), took a private jet to Dubai (ooh)
Bitch, you better buy your own flight
Bust down smackin', no light (yeah)
And she show titties on Skype (yeah)
Smoke quarter pound to the face, esskeetit
Everything that you done did, I done did it
Pockets on swole, like it's 24 Fitness (yeah)
800 bands just layin' in the kitchen (goddamn)

Only wear designer, esskeetit (ooh!)
Hoppin' out the Wraith, esskeetit (esskeetit!)
Smashin' on your bitch, esskeetit (yeah, ooh!)
Runnin' up a check with no limit (yuh!)
Poppin' on X, poppin' on X (brrt)
Poppin' on X, pills (yuh, X)
Got a new car, got a new bitch (ooh, yeah, brrt)
And I got a new deal (ooh!)
Only wear designer, esskeetit (esskeetit!)
Hoppin' out the Wraith, esskeetit (ooh!)
Smashin' on your bitch, esskeetit (esskeetit!)
Runnin' up a check with no limit (ooh!)
Poppin' on X, poppin' on X
Poppin' on X, pills (poppin' on X)
Got a new car, got a new bitch
And I got a new deal (yuh)

Pinkie ring froze, pinkie ring froze, pinkie ring covered in gold (ooh)
Too much diamonds on my neck, think I might choke (yuh)
Had a threesome with your bitch, with my eyes closed (damn)
Tell my side hoe bring it through the back door, oh!
I got eighty-thousand in my envelope (ooh)
I just got a ""Gucci Gang"" medal, though (yeah)
Damn, I got some homies that went federal (uh)
Look at my two-tone Patek, I smash a ho then forget
I got a fridge on my neck (yeah), I'm smokin' gas on a jet (uh)
Ooh, I just love to flex (yeah)
Blew out two million that Tootsie's (ooh), I made your auntie a groupie (yeah)
And you know my life a movie (uh, ooh), I got sticks like Call of Duty (ooh, yeah)

Only wear designer, esskeetit (ooh!)
Hoppin' out the Wraith, esskeetit (esskeetit!)
Smashin' on your bitch, esskeetit (yeah, ooh!)
Runnin' up a check with no limit (yuh!)
Poppin' on X, poppin' on X (brrt)
Poppin' on X, pills (yuh, X)
Got a new car, got a new bitch (ooh, yeah, brrt)
And I got a new deal (ooh!)
Only wear designer, esskeetit (esskeetit!)
Hoppin' out the Wraith, esskeetit (ooh!)
Smashin' on your bitch, esskeetit (esskeetit!)
Runnin' up a check with no limit (ooh!)
Poppin' on X, poppin' on X
Poppin' on X, pills (poppin' on X)
Got a new car, got a new bitch
And I got a new deal (brrt)

Ooh, only wear designer, esskeetit (esskeetit!)
Hoppin' out the Wraith, esskeetit (ooh)
Smashin' on your bitch, esskeetit (esskeetit!)
Runnin' up a check with no limit (ooh)
Poppin' on X, poppin' on X
Poppin' on X, pills (poppin' on X)
Got a new car, got a new bitch
And I got a new deal (brrt)"
12	Lil Pump	"Yuh, ooh, brr, brr
Gucci gang, ooh
(That's it right there, Gnealz)
Yuh, Lil Pump, yuh
Gucci gang, ooh
(Ooh, Bi-Bighead on the beat)
Yuh, brr

Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (yuh)
My bitch love do cocaine, ooh (ooh)
I fuck a bitch, I forgot her name (brr, yuh)
I can't buy a bitch no wedding ring (ooh)
Rather go and buy Balmains (brr)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (huh?)
My bitch love do cocaine, ooh (brr)
I fuck a bitch, I forgot her name, yuh (yuh, yuh)
I can't buy no bitch no wedding ring, ooh (nope)
Rather go and buy Balmains, ayy (brr)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)

My lean cost more than your rent, ooh (it do)
Your momma still live in a tent, yuh (brr)
Still slangin' dope in the 'jects, huh? (yeah)
Me and my grandma take meds, ooh (huh?)
None of this shit be new to me (nope)
Fuckin' my teacher, call it tutory (yuh)
Bought some red bottoms, cost hella Gs (huh?)
Fuck your airline, fuck your company (fuck it!)
Bitch, your breath smell like some cigarettes (cigarettes)
I'd rather fuck a bitch from the projects (yuh)
They kicked me out the plane off a percocet (brr)
Now Lil Pump flyin' private jet (yuh)
Everybody scream, ""Fuck WestJet"" (fuck 'em)
Lil Pump still sell that meth (yuh)
Hunnid on my wrist, sippin' on Tech (brr)
Fuck a lil bitch, make her pussy wet (what?)

Gucci gang, Gucci gang, Gucci gang, Gucci gang (Gucci gang), Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (huh?)
My bitch love do cocaine, ooh (yuh)
I fuck a bitch, I forgot her name (brr)
I can't buy a bitch no wedding ring (huh?)
Rather go and buy Balmains (yuh)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Gucci gang, Gucci gang, Gucci gang, Gucci gang
Gucci gang, Gucci gang, Gucci gang (Gucci gang)
Spend three racks on a new chain (huh?)
My bitch love do cocaine, ooh (brr)
I fuck a bitch, I forgot her name, yuh (yuh)
I can't buy no bitch no wedding ring, ooh (nope)
Rather go and buy Balmains, ayy (huh?)
Gucci gang, Gucci gang, Gucci gang (Gucci gang)

Lil Pump, yuh
Lil Pump, ooh"
13	One Direction	"Maybe it's the way she walked
Straight into my heart and stole it
Through the doors and past the guards
Just like she already owned it

I said, ""Can you give it back to me?""
She said, ""Never in your wildest dreams""

And we danced all night to the best song ever
We knew every line now I can't remember
How it goes but I know that I won't forget her
Cause we danced all night to the best song ever
I think it went oh, oh, oh
I think it went yeah, yeah, yeah
I think it goes

Said her name was Georgia Rose
And her daddy was a dentist
Said I had a dirty mouth
But she kissed me like she meant it

I said, ""Can I take you home with me?""
She said, ""Never in your wildest dreams""

And we danced all night to the best song ever
We knew every line now I can't remember
How it goes but I know that I won't forget her
Cause we danced all night to the best song ever
I think it went oh, oh, oh
I think it went yeah, yeah, yeah
I think it goes

You know, I know, you know I'll remember you
And I know, you know, I know you'll remember me
And you know, I know, you know I'll remember you
And I know, you know, I hope you'll remember how we danced, how we danced
1, 2 - 1, 2, 3

How we danced all night to the best song ever
We knew every line now I can't remember
How it goes but I know that I won't forget her
Cause we danced all night to the best song ever
And we danced all night to the best song ever
We knew every line now I can't remember
How it goes but I know that I won't forget her
Cause we danced all night to the best song ever
I think it went oh, oh, oh
I think it went yeah, yeah, yeah
I think it goes

Best song ever
It was the best song ever
It was the best song ever
It was the best song ever"
14	Silentó	
15	DJ Khaled	"We the Best Music
Another one!
DJ Khaled

Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Yeah, yeah!

Quavo! I'm the one that hit that same spot (hit it)
She the one that bring them rain drops (rain drops)
We go back, remember criss-cross and hopscotch? (hopscotch)
You the one that hold me down when the block's hot (hot)
I make your dreams come true when you wake up (dream)
And your look's just the same without no make-up
Had to pull up on your mama, see what you're made of (mama)
Ain't gotta worry 'bout 'em commas 'cause my cake up
You can run inside my life from that fame bus (skrt)
'Cause I promise, when we step out you'll be famous (yeah)
Modern day Bonnie and Clyde what they named us (why?)
'Cause when we pull up — brt-brt! — all angles

Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Okay though

Uh, she beat her face up with that new Chanel
She like the price, she see the ice, it make her coochie melt
When I met her in the club I asked her who she felt
Then she went and put that booty on that Gucci belt
We don't got no label
She say she want bottles, she ain't got no table
She don't got no bed frame, she don't got no tables
We just watchin' Netflix, she ain't got no cable, okay though
Plug, plug, plug, I'm the plug for her
She want a nigga that pull her hair and hold the door for her
Baby, that's only me, bitch, it okay with me
Baby, okay, okay though

Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

Lookin' for the one?
Well, bitch, you're lookin' at the one
I'm the best yet, and yet my best is yet to come
'Cause I've been lookin' for somebody
Not just any fuckin' body
Don't make me catch a body
That's for any and everybody
Oh my God, she hit me up all day, get no response
Bitch, you blow my high
That's like turnin' gold to bronze, roll my eyes
And when she on the Molly she a zombie
She think we Clyde and Bonnie
But it's more like Whitney and Bobby
God, forgive me! Tunechi F finessin', I'm a legend
Straight up out the Crescent
Fly your bae down for the Essence
For the record I knew Khaled when that boy was spinnin' records
Mula Gang, winnin' record
I'm just flexin' on my exes, oh God

Yeah, you're lookin' at the truth
The money never lie, no
I'm the one, yeah, I'm the one
Early mornin' in the Dawn
Know you wanna ride now (let's ride, let's ride!)
I'm the one, yeah, I'm the one, yeah
And you sick of all those other imitators
Don't let the only real one intimidate ya
See you watchin', don't run outta time now
I'm the one, yeah

Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one

(Another one)
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one
Don't you know, girl? Don't you know, girl?
I am the one for you (I'm the one)
Yeah, I'm the one"
16	Silentó	
17	Luis Fonsi	
18	J Balvin	
19	Deorro	"Despacito
Mami yo sé que te va a gustar
Despacito
Mami yo sé que te va a encantar
Mueve dale vamo'
Despacito
Mami yo sé que te va a gustar
Mueve dale vamo'
Sabrosito
Vamo' a bailar
Que la cosa
De abajo
Aprieta, vamo'

Una mexicana se puso a bailar
Sudaba tequila yo quiero probar
Beyoncé y Rihanna la van a envidiar
Baila como diosa
Fachino poledance

Subelo, subelo, subelo, subelo, subelo, subelo
Vamo' a bailar
Ven conmigo
Vamo' a bailar

Esta noche si está buena para bailar
Para bailar
Cha cha cha cha
Para bailar
Muevete pa'ca
Para bailar
Cha cha cha cha
Para bailar
Rumba pa' gozar
Para bailar
Aprieta

La noche comenzando
Y el whiskey calentando
Y esta música sabrosa que me llama
Y esta música sabrosa que me prende

Subelo, subelo, subelo, subelo, subelo, subelo
Vamo' a bailar
Ven conmigo
Vamo' a bailar"
20	Zay Hilfigerrr	"Do that one dance baby
That, that one dance
Yeah, oh
You don't know how to do that?
Baby do it for your grandma
Come on, I'm old and I'm trying to learn it
Well yeah, do it

Girl 1: Oh my god, oh my god. Girl ain't that Zay and Zayion?
Girl 2: Yas
Girl 1: Don't both of 'em got a girlfriend?
Girl 2: Girl I don't care
Girl 1: I don't care girl, he still cute
Girl 2: Oh yes, he is!

Walked in this party
And these girls lookin' at me
Skinny jeans on and you know my hair nappy
Hey, hey, hey
Okay, okay
I want y'all do it, do this dance now

JuJu on the beat
JuJu on that beat
JuJu on that, JuJu on that, JuJu on that beat
Now slide, drop
Hit dem folks, don't stop, aye
Don't stop, aye
Don't stop, aye
Running man on that beat, aye
Running man on that beat, aye
Running man on that beat, aye
Running man on that beat
Now do your dance, do your dance, do your dance, aye
You ugly
You your daddy's son

Aye, aye
Do your dance, aye
Go crazy, aye
Get freaky, aye
Let's go, leggo, leggo, leggo, leggo
Hey, hey, hey
Yea

Okay we knuckin' and buckin'
And ready to fight
I got my cousin, he with me
And got Lil Zay on the right
And I'm a Detroit baby
And I don't know nothing else
Besides drinking and having parties
And having some fun
I say look in the mirror
What you expect me to do?
I see a 300-S
And got them blacked out rims
I mean I like your style
I'm on a whole 'nother level
If you compare me and you
There wouldn't be no comparings

JuJu on the beat
JuJu on that beat
JuJu on that, JuJu on that, JuJu on that beat
Now slide, drop
Hit dem folks, don't stop, aye
Don't stop, aye
Don't stop, aye
Running man on that beat, aye
Running man on that beat, aye
Running man on that beat, aye
Running man on that beat
Now do your dance, do your dance, do your dance, aye
You ugly
You your daddy's son"
21	J Balvin	"Letra de ""Seguiré Subiendo""Y yo quiero seguir
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Y esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Y yo quiero seguir
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Uh, uh, uha
Dale pa' lante sigue creciendo
Eh, eh, eha
Dale pa' lante sigue subiendo
Uh, uh, uha
Dale pa' lante sigue creciendo
Eh, eh, eha
Dale pa' lante sigue subiendo
Yo soy J Balvin
El de comercial
Pero de José, no habla na'
Con que derecho van a juzgar
Si tengo historia no sabe na'
Yo soy el pueblo, yo soy Colombia
Yo soy el paisa que cambio la historia
Y a la bandera le dará su gloria
Escúchalo bien y quede en tu memoria
Y yo quiero subir
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Y esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Y yo quiero subir
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Y yo si soy el joven, ella me gana en las canas
Tocando puertas buenas y malas
Zumba la cebada por la ventana
Tumbaba la puerta a la buena y a la mala
Sueños de barrio y de vecindario
De que algún día yo pegaría en la radio
Salir en la revista y ser la portada
Y que a mi familia nunca le falte nada
Y yo quiero subir
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Y esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Y yo quiero subir
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Uh, uh, uha
Dale pa' lante sigue creciendo
Eh, eh, eha
Dale pa' lante sigue subiendo
Uh, uh, uha
Dale pa' lante sigue creciendo
Eh, eh, eha
Dale pa' lante sigue subiendo
Es J Balvin
El negocio
Dj Buxxi
Dj, Dj, Dj Tra
Tranquilo
Mr. Home Music
Sigue pa' lante mi hermano
Mucha disciplina
Mirando siempre el cielo
Sigue en tus sueños
Colombia Latinos
Y yo quiero subir...
(Wiber &; Mer)
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Y esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Y yo quiero subir
Y seguiré subiendo
Yo quiero ser la voz del pueblo
Esto es para ti
A que le estas teniendo
Dale pa' lante
Sigue creciendo
Uh, uh, uha
Dale pa' lante sigue creciendo
Eh, eh, eha
Dale pa' lante sigue subiendo
Uh, uh, uha
Dale pa' lante sigue creciendo
Eh, eh, eha
Dale pa' lante sigue subiendo"
22	Calle 13	"Letra de ""Atrévete-Te-Te""

Atrévete-te-te, salte del closet
Destápate, quítate el esmalte
Deja de taparte
Que nadie va a retratarte
Levántate, ponte hyper
Préndete, sácale chispas al starter
Préndete en fuego como un lighter
Sacúdete el sudor como si fueras un wiper
Que tú eres callejera, Street Fighter

Cambia esa cara de seria
Esa cara de intelectual, de enciclopedia
Que te voy a inyectar con la bacteria
Pa' que de' vuelta' como machina de ferias
Señorita intelectual, ya sé que tiene el area abdominal
Que va a explotar como fiesta patronal
Que va explotar, como palestino
Yo sé que a ti te gusta el pop-rock latino
Pero este reguetón se te mete por los intestinos
Por debajo de la falda como un submarino
Y te saca lo de indio taíno
Ya tú sabes en tapa rabo mamá
En el nombre de Agüeybaná, no hay mas na'
Para na' que yo te vo'a mentir
Yo sé que yo también quiero consumir de tu perejil
Y tú viniste amazónica como Brasil
Tú viniste a mata'la como Kill Bill
Tú viniste a beber cerveza de barril
Tú sabes que conmigo tienes refill

Atrévete-te-te, salte del closet
Destápate, quítate el esmalte
Deja de taparte
Que nadie va a retratarte
Levántate, ponte hyper
Préndete, sácale chispas al starter
Préndete en fuego como un lighter
Sacúdete el sudor como si fueras un wiper
Que tú eres callejera, Street Fighter

Hello, deja el show
Súbete la minifalda hasta la espalda
Súbetela deja el show, más alta
Que ahora vamos a bailar por to'a la jalda
Mira nena ¿quieres un sipi?
No importa si eres rapera o eres hippie
Si eres de Bayamon o de Guaynabo City
Conmigo no te pongas picky
Esto es hasta abajo cójele el triqui
Esto es fácil, esto es un mamey
¿Qué importa si te gusta Green Day?
¿Qué importa si te gusta Coldplay?
Esto es directo sin parar, one way
Yo te lo juro de que por ley
Aquí to'as boricuas saben karate
Ellas cocinan con salsa de tomate
Mojan el arroz con un poco de aguacate
Para cosechar nalgas de 14 kilates

Atrévete-te-te, salte del closet
Destápate, quítate el esmalte
Deja de taparte
Que nadie va a retratarte
Levántate, ponte hyper
Préndete, sácale chispas al starter
Préndete en fuego como un lighter
Sacúdete el sudor como si fueras un wiper
Que tú eres callejera, Street Fighter
Atrévete-te-te, salte del closet
Destápate, quítate el esmalte
Deja de taparte
Que nadie va a retratarte
Levántate, ponte hyper
Préndete, sácale chispas al starter
Préndete en fuego como un lighter
Sacúdete el sudor como si fueras un wiper
Que tú eres callejera, Street Fighter

Ja-ja-ja
¡Ah!
Cumbia"
